,datetime,ridership,date,month
0,2022-02-01 00:00:00,86,2022-02-01,2022-02-01
1,2022-02-01 01:00:00,50,2022-02-01,2022-02-01
2,2022-02-01 02:00:00,30,2022-02-01,2022-02-01
3,2022-02-01 03:00:00,36,2022-02-01,2022-02-01
4,2022-02-01 04:00:00,136,2022-02-01,2022-02-01
5,2022-02-01 05:00:00,690,2022-02-01,2022-02-01
6,2022-02-01 06:00:00,1340,2022-02-01,2022-02-01
7,2022-02-01 07:00:00,2260,2022-02-01,2022-02-01
8,2022-02-01 08:00:00,2514,2022-02-01,2022-02-01
9,2022-02-01 09:00:00,1514,2022-02-01,2022-02-01
10,2022-02-01 10:00:00,1172,2022-02-01,2022-02-01
11,2022-02-01 11:00:00,1094,2022-02-01,2022-02-01
12,2022-02-01 12:00:00,1102,2022-02-01,2022-02-01
13,2022-02-01 13:00:00,1010,2022-02-01,2022-02-01
14,2022-02-01 14:00:00,1090,2022-02-01,2022-02-01
15,2022-02-01 15:00:00,1404,2022-02-01,2022-02-01
16,2022-02-01 16:00:00,1344,2022-02-01,2022-02-01
17,2022-02-01 17:00:00,1480,2022-02-01,2022-02-01
18,2022-02-01 18:00:00,1036,2022-02-01,2022-02-01
19,2022-02-01 19:00:00,710,2022-02-01,2022-02-01
20,2022-02-01 20:00:00,526,2022-02-01,2022-02-01
21,2022-02-01 21:00:00,358,2022-02-01,2022-02-01
22,2022-02-01 22:00:00,310,2022-02-01,2022-02-01
23,2022-02-01 23:00:00,148,2022-02-01,2022-02-01
24,2022-02-02 00:00:00,46,2022-02-02,2022-02-01
25,2022-02-02 01:00:00,30,2022-02-02,2022-02-01
26,2022-02-02 02:00:00,24,2022-02-02,2022-02-01
27,2022-02-02 03:00:00,40,2022-02-02,2022-02-01
28,2022-02-02 04:00:00,138,2022-02-02,2022-02-01
29,2022-02-02 05:00:00,730,2022-02-02,2022-02-01
30,2022-02-02 06:00:00,1784,2022-02-02,2022-02-01
31,2022-02-02 07:00:00,3260,2022-02-02,2022-02-01
32,2022-02-02 08:00:00,3248,2022-02-02,2022-02-01
