"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-01","5.14","0.00","0.0","5.9",,"36","23","   50","   50","13.0","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-02","2.91","0.00","0.0","3.9",,"47","32","  140","  140","8.1","12.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-03","3.80","0.42","0.0","2.0",,"52","42","  230","  230","13.0","18.1","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-04","6.71","0.72","0.0","0.0",,"57","26","  340","  350","14.1","25.1","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-05","8.72","0.00","0.0","0.0",,"27","19","  300","  300","19.9","28.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-06","4.70","0.00","0.0","0.0",,"30","17","   50","  130","10.1","15.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-07","3.58","0.15","0.0","0.0",,"37","30","   70","   60","13.0","18.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-08","6.71","0.07","0.0","0.0",,"45","32","  270","  300","16.1","25.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-09","4.03","0.00","0.0","0.0",,"46","29","  180","  200","12.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-10","5.14","0.00","0.0","0.0",,"54","37","  280","  260","17.0","33.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-11","5.14","0.00","0.0","0.0",,"57","38","  190","  170","14.1","25.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-12","7.61","0.00","0.0","0.0",,"59","42","  230","  220","16.1","27.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-13","6.71","0.23","1.6","1.2",,"42","25","   10","   10","13.0","19.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-14","8.72","0.00","0.0","1.2",,"25","16","  300","  290","17.0","28.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-15","4.92","0.00","0.0","0.0",,"30","16","  230","  280","10.1","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-16","5.82","0.00","0.0","0.0",,"49","28","  220","  200","14.1","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-17","7.38","0.31","0.0","0.0",,"68","49","  230","  190","16.1","25.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-18","9.62","0.33","0.0","0.0",,"63","27","  300","  280","21.9","40.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-19","8.28","0.00","0.0","0.0",,"40","23","  290","  280","21.0","38.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-20","7.61","0.00","0.0","0.0",,"36","21","  310","  310","18.1","29.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-21","4.47","0.00","0.0","0.0",,"55","32","  220","  190","13.0","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-22","6.04","0.26","0.0","0.0",,"61","37","  160","  140","16.1","25.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-23","8.28","0.00","0.0","0.0",,"68","35","  270","  280","21.9","31.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-24","7.61","0.00","0.0","0.0",,"35","29","   40","  290","16.1","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-25","8.28","0.74","0.4","0.0",,"41","26","   60","  280","19.9","25.9","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-26","7.16","0.00","0.0","0.0",,"37","24","  300","  300","17.0","25.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-27","9.62","0.00","0.0","0.0",,"48","28","  240","  360","19.9","29.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-28","5.82","0.00","0.0","0.0",,"36","26","  300","  300","15.0","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-01","5.82","0.00","0.0","0.0",,"48","31","  180","  200","14.1","23.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-02","5.37","0.00","0.0","0.0",,"52","40","  240","  250","13.0","21.0",,,,,,
