,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
1 Av (L),0.6238839186589065,0.6235736661891844,0.6144337606632672,0.7435919123685447,0.6752571530010381,0.639927649754668
103 St (1),0.6638528752263453,0.6637583852468094,0.6459106493980387,0.7784752387437313,0.7179195343632145,0.6699819435679828
103 St (6),0.6852361376454215,0.6851513554416463,0.6709697509013794,0.7921583209598257,0.7227470974290612,0.7183223482008676
"103 St (B,C)",0.6314830292251328,0.631701675588243,0.5820769107636289,0.7643429563180046,0.6890398616861351,0.6667345536425546
103 St-Corona Plaza (7),0.5892873504558367,0.5895012862924951,0.5871004544004718,0.705008125519005,0.6245703848919191,0.6566261169772427
104 St (A),0.6721698666388625,0.6719137698829841,0.5770610386350928,0.8353440845250857,0.7930863871187683,0.7955575551190982
"104 St (J,Z)",0.6433908426056163,0.6432931219193494,0.5784378818480425,0.7540295275166077,0.6782680092055591,0.7132847731519723
110 St (6),0.6684193023163016,0.6685300823287258,0.6462771320717542,0.7722906833151851,0.7059344154466947,0.6915120172790321
111 St (7),0.7308602083995404,0.7308301271547035,0.7193684231415229,0.875550778194588,0.8369059291639739,0.8383851498362955
111 St (A),0.6573186901241771,0.6574687624634972,0.6120271177992738,0.8422684654688969,0.8030827011072033,0.8136847645363111
111 St (J),0.6471764859834894,0.64729585951385,0.5355394293648055,0.7548581373423239,0.6769035501851255,0.6941189178402016
"116 St (2,3)",0.6615470558190041,0.6613532117313747,0.6323211009067776,0.775290448298869,0.711010835654297,0.684742526244942
116 St (6),0.6940236217420845,0.6939154866972542,0.6791046276157591,0.7829426625945424,0.7056125520860641,0.695539833049877
"116 St (B,C)",0.6373698586966507,0.6373579082770364,0.6003441900207299,0.776237953319397,0.7036288350414031,0.6760996488264152
116 St-Columbia University (1),0.654898916093102,0.6549655414682608,0.6491726745291453,0.7705527819425697,0.704928579682476,0.7020426729753828
"121 St (J,Z)",0.6280371544932379,0.6277997123070189,0.4985528850087806,0.7496673986770352,0.6718368468027892,0.6749681762524709
125 St (1),0.6583669908517401,0.6583313862453599,0.6264876049227786,0.7507768112119161,0.660422036767236,0.662265760524144
"125 St (2,3)",0.6907826766203045,0.6907085146980164,0.6719413720700971,0.7732987114682901,0.6903677405938945,0.6773924777062983
"125 St (4,5,6)",0.654053165797646,0.6541728117459711,0.6487858997567711,0.7519203513765431,0.6661995574013864,0.6871009946810858
